x,y,z
64.48583274067884,118.18693697818884,a
93.67203684703203,117.21156211441729,a
77.70769036068411,126.17163318605151,a
71.5609719353305,88.4198745172755,a
66.80999846789817,122.25542023092112,a
67.08967045956283,118.65081673360089,a
95.39069482932969,87.36506450241325,a
136.05386254091667,148.84431470275166,a
213.6179691561838,109.20745069256395,a
207.97703014317628,162.57685349207213,a
174.1908908817285,139.03296952356436,a
210.40914516752034,141.04702923462912,a
177.17959754104504,144.7579826235728,a
179.87607075714905,191.73694342537686,a
231.29856981195286,159.3496305308634,a
240.66336674773856,85.87886624825074,a
224.99424834933296,121.91401314330949,a
191.42480666429816,211.96142480875386,a
255.6167291819894,142.27819022023948,a
247.88593552839959,203.6231159601935,a
250.07919681758722,169.69994729078076,a
222.20448779577168,166.10876575509315,a
277.78382777194196,147.068004333212,a
268.9026532435044,181.07237850522404,a
254.36484860534335,160.85312994748188,a
264.4979068141274,133.38960026497915,a
265.04495396473806,155.87829671366802,a
295.6359621296914,133.33229091643,a
230.43787768016742,163.0940708136141,a
255.1863497606638,188.0357492250131,a
296.8269565946821,188.77621235799234,a
304.4068036040185,184.38419929788517,a
255.92027324383184,140.99502354851893,a
310.7499172600197,141.6440529552509,a
285.770309520634,160.25637243879476,a
296.446968622341,131.88295384146124,a
241.4866089312306,153.65158670251003,a
296.1598743499349,202.721070199118,a
262.5039488581659,177.12406371837852,a
285.91982318729566,165.22787530970277,a
288.3172646853885,113.55147507589646,a
325.59024704627217,123.37157821619877,a
295.1781461368993,155.8930965167403,a
341.4876360651333,148.57904696422696,a
326.4336994058811,149.47067929292382,a
336.19400429837395,144.5394117340303,a
346.23149964614265,145.24609139853953,a
337.71809735277617,168.94744713694763,a
336.5414236187672,175.0275216800802,a
336.3882231660241,204.76869135681244,a
366.16875670482034,196.44944690509294,a
348.0499825079904,148.17130826372022,a
370.5660879484215,169.49354758553665,a
314.63623460954506,152.35002726257676,a
360.04909929440254,138.37215599125045,a
358.836310046901,217.3106611558087,a
352.2969753368127,185.5115028993862,a
337.9079890240427,147.42057929228076,a
348.03581828647026,153.55705052033858,a
370.4565240792067,142.97592994198595,a
364.9957949217755,157.46808835030498,a
375.8307762297922,172.0663002186733,a
403.67918341618133,178.25508486123266,a
343.26151141662723,201.87484618317535,a
359.1589576841945,174.686417504433,a
392.0979848636278,193.90127777367712,a
351.16457194043227,175.33225345904322,a
352.4747456193072,142.73949415401074,a
359.2064362874705,171.9253177919149,a
412.9193147966188,175.0096421504383,a
385.77309585237595,186.39480447520992,a
412.08001425075986,185.09654272613705,a
373.5957384208461,169.02989937557845,a
365.55022266414375,189.50196452105723,a
403.7890508032992,150.6148076316329,a
389.7602224198767,201.8661871717589,a
390.7601371532189,190.92307687395885,a
374.39509141349,123.87010744118061,a
371.3106686076802,175.83930921299054,a
416.54894694109805,186.6639346493348,a
364.2130876682187,167.29088217981104,a
383.0701144383798,170.6869400472953,a
404.21920327520166,184.9619753416357,a
428.1657628320634,159.1737101539241,a
425.34685489876546,196.35672365653528,a
402.19357806346477,169.02946513176528,a
392.9609722483675,195.29835808092702,a
452.33837798332365,132.78373600713655,a
436.4667080662842,198.0879299637151,a
396.9162318604062,192.59919930115365,a
444.82556740899497,194.32678586631783,a
